         ABSORPTION SPECTRUM VIA TRANSITION ELECTRIC DIPOLE MOMENTS
-----------------------------------------------------------------------------
State   Energy    Wavelength  fosc         T2        TX        TY        TZ  
        (cm-1)      (nm)                 (au**2)    (au)      (au)      (au) 
-----------------------------------------------------------------------------
   1   41992.9    238.1   0.092327873   0.72382   0.00000  -0.85078   0.00000
   2   43226.4    231.3   0.000012850   0.00010   0.00989   0.00000  -0.00000
   3   57584.0    173.7   0.000000000   0.00000  -0.00000   0.00000  -0.00000
   4   59087.8    169.2   2.454648646  13.67625  -3.69814   0.00000   0.00000
   5   60425.9    165.5   0.653224061   3.55889   0.00000   1.88650   0.00000
   6   61628.9    162.3   0.000000000   0.00000   0.00000  -0.00000   0.00000
   7   64244.6    155.7   0.000000000   0.00000   0.00000   0.00000   0.00000
   8   66506.0    150.4   0.000000000   0.00000   0.00000   0.00000  -0.00000
   9   67727.6    147.7   0.000000000   0.00000  -0.00000   0.00000  -0.00000
  10   67895.4    147.3   0.000000000   0.00000   0.00000  -0.00000  -0.00000
  11   71136.6    140.6   0.023988098   0.11101   0.00000   0.00000   0.33319
  12   71343.0    140.2   0.000000000   0.00000   0.00000  -0.00000   0.00000
  13   71670.1    139.5   0.000000000   0.00000  -0.00000   0.00000  -0.00000
  14   74978.6    133.4   0.000000000   0.00000  -0.00000  -0.00000   0.00000
  15   75265.0    132.9   0.000000000   0.00000   0.00000   0.00000   0.00000
  16   76263.1    131.1   0.000000000   0.00000   0.00000  -0.00000   0.00000
  17   77730.0    128.7   0.027104952   0.11480  -0.00000  -0.00000  -0.33882
  18   78614.2    127.2   0.000000000   0.00000  -0.00000   0.00000   0.00000
  19   78676.7    127.1   0.002714757   0.01136  -0.00000  -0.00000   0.10658
  20   78756.0    127.0   0.000000000   0.00000   0.00000   0.00000  -0.00000
  21   79578.4    125.7   0.000000000   0.00000  -0.00000  -0.00000   0.00000
  22   79993.6    125.0   0.000000000   0.00000   0.00000   0.00000  -0.00000
  23   80749.6    123.8   0.000000000   0.00000  -0.00000   0.00000  -0.00000
  24   82015.4    121.9   0.000000000   0.00000   0.00000   0.00000   0.00000
  25   82211.9    121.6   0.809005585   3.23961   0.00000  -1.79989  -0.00000
  26   84579.0    118.2   0.000000000   0.00000   0.00000   0.00000  -0.00000
  27   84921.7    117.8   0.000000000   0.00000  -0.00000   0.00000   0.00000
  28   85561.8    116.9   0.008986635   0.03458   0.00000  -0.00000   0.18595
  29   85914.3    116.4   0.000000000   0.00000  -0.00000   0.00000   0.00000
  30   87027.9    114.9   0.000000000   0.00000  -0.00000   0.00000   0.00000
  31   87233.5    114.6   0.086365567   0.32594   0.57091  -0.00000  -0.00000
  32   87245.6    114.6   0.000968730   0.00366   0.00000  -0.00000   0.06046
  33   88475.7    113.0   0.000000000   0.00000  -0.00000  -0.00000  -0.00000
  34   90116.8    111.0   0.003606533   0.01318  -0.00000   0.00000   0.11478
  35   90226.2    110.8   0.000000000   0.00000  -0.00000  -0.00000   0.00000
  36   90883.6    110.0   0.000000000   0.00000   0.00000  -0.00000  -0.00000
  37   92273.3    108.4   0.000000000   0.00000   0.00000   0.00000  -0.00000
  38   92431.6    108.2   0.000000000   0.00000  -0.00000   0.00000  -0.00000
  39   93250.6    107.2   0.000000000   0.00000   0.00000   0.00000  -0.00000
  40   93394.6    107.1   0.000000000   0.00000  -0.00000   0.00000  -0.00000
  41   94994.8    105.3   0.000544649   0.00189  -0.00000  -0.00000  -0.04345
  42   95261.3    105.0   0.000000000   0.00000   0.00000   0.00000  -0.00000
  43   95958.9    104.2   0.000199079   0.00068  -0.00000  -0.02613  -0.00000
  44   96228.6    103.9   0.000000000   0.00000   0.00000   0.00000  -0.00000
  45   97445.1    102.6   0.000605570   0.00205   0.00000   0.00000  -0.04523
  46   97966.3    102.1   0.000000000   0.00000  -0.00000  -0.00000  -0.00000
  47   98472.8    101.6   0.000000000   0.00000   0.00000  -0.00000  -0.00000
  48  100535.7     99.5   0.005871383   0.01923  -0.00000  -0.00000   0.13866
  49  100549.9     99.5   0.000000000   0.00000  -0.00000  -0.00000  -0.00000
  50  101243.1     98.8   0.116854909   0.37998  -0.61642  -0.00000   0.00000
